company_name,company_slug,source_name,source_url,vacancies_count,note
UKRSIBBANK BNP Paribas Group,ukrsibbank,Work.ua,https://www.work.ua/jobs/by-company/101840,20,Work.ua VIP list
Union Group,union-group,Work.ua,https://www.work.ua/jobs/by-company/1320360,95,Work.ua VIP list
Universal Bank,universal-bank,Work.ua,https://www.work.ua/jobs/by-company/1134492,61,Work.ua VIP list
Vega Vodafone Ukraine,vega-vodafone,Work.ua,https://www.work.ua/jobs/by-company/171840,23,Work.ua VIP list
VIDI,vidi,Work.ua,https://www.work.ua/jobs/by-company/74934,39,Work.ua VIP list
Vipcem,vipcem,Work.ua,https://www.work.ua/jobs/by-company/166004,32,Work.ua VIP list
Vitagro,vitagro,Work.ua,https://www.work.ua/jobs/by-company/322330,39,Work.ua VIP list
Vodafone Retail Ukraine,vodafone-retail-ukraine,Work.ua,https://www.work.ua/jobs/by-company/1489680,24,Work.ua VIP list
Vodafone Ukraine,vodafone-ukraine,Work.ua,https://www.work.ua/jobs/by-company/838616,53,Work.ua VIP list
Watsons Ukraine,watsons-ukraine,Work.ua,https://www.work.ua/jobs/by-company/15731,102,Work.ua VIP list
WOG,wog,Work.ua,https://www.work.ua/jobs/by-company/44303,188,Work.ua VIP list
Work.ua,work-ua,Work.ua,https://www.work.ua/jobs/by-company/951769,7,Work.ua VIP list
Yabluka,yabluka,Work.ua,https://www.work.ua/jobs/by-company/760352,33,Work.ua VIP list
Zakaz.ua,zakaz-ua,Work.ua,https://www.work.ua/jobs/by-company/163714,51,Work.ua VIP list
àбанк,a-bank,Work.ua,https://www.work.ua/jobs/by-company/850266,50,Work.ua VIP list
Є гроші,ye-hroshi,Work.ua,https://www.work.ua/jobs/by-company/1308472,6,Work.ua VIP list
Ібіс,ibis,Work.ua,https://www.work.ua/jobs/by-company/788676,17,Work.ua VIP list
Ідея Банк,ideya-bank,Work.ua,https://www.work.ua/jobs/by-company/296605,90,Work.ua VIP list
Інтерпайп,interpipe,Work.ua,https://www.work.ua/jobs/by-company/28907,109,Work.ua VIP list
АВ метал груп,av-metal-grup,Work.ua,https://www.work.ua/jobs/by-company/77932,55,Work.ua VIP list
АВТ Баварія Груп,avt-bavariia-grup,Work.ua,https://www.work.ua/jobs/by-company/19365,10,Work.ua VIP list
АЛБО,albo,Work.ua,https://www.work.ua/jobs/by-company/38639,22,Work.ua VIP list
АТБ корпорація,atb-corporation,Work.ua,https://www.work.ua/jobs/by-company/385,10,Work.ua VIP list
АТБ-маркет,atb-market,Work.ua,https://www.work.ua/jobs/by-company/28708,82,Work.ua VIP list
АФІНА-Груп,afina-grup,Work.ua,https://www.work.ua/jobs/by-company/642049,31,Work.ua VIP list
Абінбев Ефес Україна,abinbev-efes-ukraine,Work.ua,https://www.work.ua/jobs/by-company/388887,86,Work.ua VIP list
АвтоНова-Д,avtonova-d,Work.ua,https://www.work.ua/jobs/by-company/959963,19,Work.ua VIP list
Агромат,agromat,Work.ua,https://www.work.ua/jobs/by-company/36257,45,Work.ua VIP list
Агропросперіс,agroprosperis,Work.ua,https://www.work.ua/jobs/by-company/125534,10,Work.ua VIP list
Акварель,akvarely,Work.ua,https://www.work.ua/jobs/by-company/191634,27,Work.ua VIP list
Аквафрост,akvafront,Work.ua,https://www.work.ua/jobs/by-company/642330,31,Work.ua VIP list
Алло,allo,Work.ua,https://www.work.ua/jobs/by-company/237501,93,Work.ua VIP list
Аптека 9-1-1,apteka-911,Work.ua,https://www.work.ua/jobs/by-company/1036647,341,Work.ua VIP list
Аптека АНЦ,apteka-ants,Work.ua,https://www.work.ua/jobs/by-company/842758,264,Work.ua VIP list
Аптека Доброго Дня,apteka-dobroho-dnia,Work.ua,https://www.work.ua/jobs/by-company/44218,100,Work.ua VIP list
Артеріум,arterium,Work.ua,https://www.work.ua/jobs/by-company/48649,42,Work.ua VIP list
Асбіс-Україна,asbis-ukraine,Work.ua,https://www.work.ua/jobs/by-company/9577,16,Work.ua VIP list
БаДМ,badm,Work.ua,https://www.work.ua/jobs/by-company/55507,46,Work.ua VIP list
Банк Кредит Дніпро,bank-kredyt-dnipro,Work.ua,https://www.work.ua/jobs/by-company/13042,25,Work.ua VIP list
Банк інвестицій та заощаджень,bank-investytsii,Work.ua,https://www.work.ua/jobs/by-company/31116,32,Work.ua VIP list
Барком,barkom,Work.ua,https://www.work.ua/jobs/by-company/724299,57,Work.ua VIP list
Близенько,blyzenko,Work.ua,https://www.work.ua/jobs/by-company/721802,39,Work.ua VIP list
Бойчак,boichak,Work.ua,https://www.work.ua/jobs/by-company/383076,49,Work.ua VIP list
Брокард-Україна,brokard-ukraine,Work.ua,https://www.work.ua/jobs/by-company/122638,29,Work.ua VIP list
Будпостач,budpostach,Work.ua,https://www.work.ua/jobs/by-company/96385,43,Work.ua VIP list
Бумбокс,bumboks,Work.ua,https://www.work.ua/jobs/by-company/3579750,2,Work.ua VIP list
Біосфера,biosfera,Work.ua,https://www.work.ua/jobs/by-company/18864,38,Work.ua VIP list
Вартіс,vartis,Work.ua,https://www.work.ua/jobs/by-company/528234,47,Work.ua VIP list
Венбест,venbest,Work.ua,https://www.work.ua/jobs/by-company/215918,29,Work.ua VIP list
Вентиляційні системи Вентс,vents,Work.ua,https://www.work.ua/jobs/by-company/21456,57,Work.ua VIP list
Вересень плюс,veresen-plus,Work.ua,https://www.work.ua/jobs/by-company/198405,29,Work.ua VIP list
ВіЯр,viyar,Work.ua,https://www.work.ua/jobs/by-company/236840,148,Work.ua VIP list
Вітмарк-Україна,vitmark-ukraine,Work.ua,https://www.work.ua/jobs/by-company/5350,31,Work.ua VIP list
